scenario,scenario_label,T,site,year,rocket_launches,pressure,site_sensitivity,site_sensitivity_norm
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,9,216,216.0,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,10,503,611.0,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,11,788,1093.5,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,12,1072,1618.75,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,13,1354,2163.375,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,14,1636,2717.6875,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,15,1916,3274.84375,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,16,0,1637.421875,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,17,0,818.7109375,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,18,0,409.35546875,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,19,0,204.677734375,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,20,0,102.3388671875,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,21,0,51.16943359375,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,22,0,25.584716796875,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,23,0,12.7923583984375,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,24,0,6.39617919921875,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,25,0,3.198089599609375,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,26,0,1.5990447998046875,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,27,0,0.7995223999023438,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,28,0,0.3997611999511719,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,29,188,188.1998805999756,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,30,449,543.0999402999878,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,31,710,981.5499701499939,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,32,968,1458.774985074997,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,33,1226,1955.3874925374985,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,34,1482,2459.6937462687492,3.5,0.875
cost_schedule_priority,Cost + Schedule Priority,75,Alaska,35,1738,2967.8468731343746,3.5,0.875
